video_id,video_title,comment_date,comments,like_count,label_highlow
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-27T03:20:34Z,Biden signing    executive orders  br    quot I don     t even know what I     m signing quot   Joe Biden ,5.0,1
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-26T16:06:41Z, The problem with internet quotes is that you cannot always depend on their accuracy    br      Abraham Lincoln      ,7.0,1
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-26T06:24:40Z,Joe Biden  In this hour Democracy has Prevailed  DEMOCRACY  DEMOCRACY  DEMOCRACY       br    br   Also Joe Biden  I don     t need your vote to win  ,2.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-25T20:38:08Z,My father Joe was a mistake  I am tired of covering up for him and speaking good things  the truth is I was threatened even by him and VP if I spoke the truth of what he     s doing I would regret it  But I care about the American people  but my father does not care about anybody but himself  and what goes in his pockets  You guys please listen to me  I     m sorry that the election was rigged and cheated this election  I knew the whole time but I had to protect myself too  I hope he doesn     t find out I     m speaking to you all but we need to get him out of office immediately  America is in danger  I repeat  America is in danger because of him ,2.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-25T20:38:03Z,My father Joe was a mistake  I am tired of covering up for him and speaking good things  the truth is I was threatened even by him and VP if I spoke the truth of what he     s doing I would regret it  But I care about the American people  but my father does not care about anybody but himself  and what goes in his pockets  You guys please listen to me  I     m sorry that the election was rigged and cheated this election  I knew the whole time but I had to protect myself too  I hope he doesn     t find out I     m speaking to you all but we need to get him out of office immediately  America is in danger  I repeat  America is in danger because of him ,2.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-25T20:37:58Z,My father Joe was a mistake  I am tired of covering up for him and speaking good things  the truth is I was threatened even by him and VP if I spoke the truth of what he     s doing I would regret it  But I care about the American people  but my father does not care about anybody but himself  and what goes in his pockets  You guys please listen to me  I     m sorry that the election was rigged and cheated this election  I knew the whole time but I had to protect myself too  I hope he doesn     t find out I     m speaking to you all but we need to get him out of office immediately  America is in danger  I repeat  America is in danger because of him   ,2.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-25T13:31:19Z, quot I don     t know what     s going on here  but I     ll act like I do quot  br    Naruto,2.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-25T12:09:15Z,I didn t hear anything about criminally high insulin prices,6.0,1
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-25T07:57:24Z,Let me start by saying  quot  I stole the election quot  ,6.0,1
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-25T06:50:00Z, quot I may be blind  but I sure ain     t black  quot  br    br     Ray Charles ,22.0,1
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-25T06:10:25Z, quot What the hell     s that oval thing   quot  br    quot Your office  sir    quot  br       st Conversation as POTUS,34.0,1
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-25T03:25:51Z,Here is the real dictator  Demonrats want to tell you what to Sat and do ,2.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-25T02:45:04Z,Cheaters never prosper ,3.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-25T01:10:02Z,Biden is such a faker he will never be conciterd my president Trump      drain the swamp  finish the job  get rid of Biden,4.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-24T23:41:58Z, quot I don     t work for you  quot    Joe Biden,2.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-24T19:47:44Z, quot Come on  man  quot   Joe Biden  br    br    quot Give me a break  quot   Joe Biden  br    br    quot You know  the THING  quot   Joe Biden ,23.0,1
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-24T19:46:41Z, quot The most popular president ever  quot  br    br   Said no one ever ,26.0,1
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-24T17:40:42Z,CNN     lt          ELECTION FRAUD DENIER     A person who steadfastly refuses to acknowledge the criminal vote theft of      by the Democrat Party as a result of his pathological hatred for the candidate or policies of the opposing party  Election Fraud Denial is supported by Left wing entities such as the fake news media  the Communist Party  the Socialist Party  Antifa  anarchist groups and various other anti American organizations ,2.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-23T22:07:25Z, quot Nope  you are nitpicking and biased  I win  bye bye quot  br     videogamedunkey,3.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-23T20:34:40Z, quot Joe Biden backwards is nediB eoJ  witch means absolutely nothing quot  br    Some guy on the internet,20.0,1
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-23T16:50:37Z, Democracy is cringe  read some Aristotle     John Doyle,5.0,1
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-23T16:35:10Z, Hi Kyle if ur reading this ur gay  br     Bee,2.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-23T16:32:54Z, I m not a joke  jokes are supposed to have meaning    Some insect,4.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-23T16:26:31Z, quot You can     t handle the truth  quot    Donald Trump,6.0,1
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-23T16:03:40Z,We Trump supporters will not be lectured by      election thief      Biden or by the Leftist fake news media outlets      calls for  quot unity quot   The same characters that spewed never ending  nonstop rage and hatred against the President and his followers for four years now desire reconciliation  They must be out of their freakin      minds ,3.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-23T16:01:16Z,The Biden regime calls the riots in Portland  quot disturbances quot     LOL ,2.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-23T15:59:23Z,Creepy Joe Biden s first few days a mix of lies  lost jobs and insults to the military    nice going  Dummy ,2.0,0
LGukNIEIhTU,Watch President Joe Biden's full inauguration speech,2021-01-23T15:28:19Z, quot In the future  humor will be randomly generated quot   A wise vegitable,2.0,0
